"Reference","Qty","Value","Exclude from BOM","Description"
"C1,C2,C3,C4","4","100pF","","603-CC402JRNPO9BN101"
"C5,C6,C7","3","1uF","","581-KGM15AS61E105KT"
"J1","1","Conn_Coaxial","","523-132134"
"J2","1","Conn_Coaxial","","523-132134"
"J3","1","571-1-826629-2","","571-1-826629-2"
"L1,L2,L3","3","33nH","","994-0402CS-33NXJRW"
"R1","1","3k32","","710-560112110102"
"U1","1","NCP163ASN330T1G","","863-NCP163ASN330T1G"
"U2","1","QPL9547","Excluded from BOM","100-6000MHz RF/IF +19.5dB gain block, DFN-8"
"U3","1","TFS1690","Excluded from BOM",""
